;ACP;pol;q3;q1;median;IQR;mean;std;count;optimal_count
121;PROCESSING_ACPS_ARACAJU;POLICIES_rent;1.0;0.0;0.0;1.0;0.27798300701884004;0.44800497187821875;5414;1505
122;PROCESSING_ACPS_ARACAJU;POLICIES_wage;1.0;0.0;0.0;1.0;0.27596223674655046;0.44699785305568446;5508;1520
123;PROCESSING_ACPS_ARACAJU;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.15873585922068595;0.3654295913280102;5569;884
124;PROCESSING_ACPS_CAMPINA GRANDE;POLICIES_buy;0.0;0.0;0.0;0.0;0.02234841546070709;0.14781394990697835;5459;122
125;PROCESSING_ACPS_CAMPINA GRANDE;POLICIES_rent;1.0;0.0;0.0;1.0;0.2987938596491228;0.4577292748832033;5472;1635
126;PROCESSING_ACPS_CAMPINA GRANDE;POLICIES_wage;1.0;0.0;0.0;1.0;0.2810991459339027;0.44953577843051956;5386;1514
127;PROCESSING_ACPS_CAMPINA GRANDE;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.16961263632944715;0.37529213944182455;5318;902
128;PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;POLICIES_buy;0.0;0.0;0.0;0.0;0.02072538860103627;0.14246349310743545;5597;116
129;PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;POLICIES_rent;1.0;0.0;0.0;1.0;0.28888888888888886;0.4532461789860253;5310;1534
130;PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;POLICIES_wage;1.0;0.0;0.0;1.0;0.27556293835363604;0.44679749927628987;5418;1493
131;PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.15826801045166106;0.36499211953045496;5358;848
132;PROCESSING_ACPS_CAXIAS DO SUL;POLICIES_buy;0.0;0.0;0.0;0.0;0.026517273576097105;0.16066769363561403;5355;142
133;PROCESSING_ACPS_CAXIAS DO SUL;POLICIES_rent;1.0;0.0;0.0;1.0;0.29167409520413623;0.45453307623426564;5609;1636
134;PROCESSING_ACPS_CAXIAS DO SUL;POLICIES_wage;1.0;0.0;0.0;1.0;0.2759633027522936;0.44699838734198977;5450;1504
135;PROCESSING_ACPS_CAXIAS DO SUL;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.15706806282722513;0.3638649288773623;5348;840
136;PROCESSING_ACPS_CRAJUBAR;POLICIES_buy;0.0;0.0;0.0;0.0;0.024715857838715497;0.1552577991922206;5543;137
137;PROCESSING_ACPS_CRAJUBAR;POLICIES_rent;1.0;0.0;0.0;1.0;0.2772893772893773;0.44766056173382823;5460;1514
138;PROCESSING_ACPS_CRAJUBAR;POLICIES_wage;1.0;0.0;0.0;1.0;0.284711964549483;0.4512771452132901;5416;1542
139;PROCESSING_ACPS_CRAJUBAR;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.17922606924643583;0.3835415040760356;5401;968
140;PROCESSING_ACPS_CURITIBA;POLICIES_buy;0.0;0.0;0.0;0.0;0.0007320644216691069;0.02704678360455515;5464;4
141;PROCESSING_ACPS_CURITIBA;POLICIES_rent;1.0;1.0;1.0;0.0;0.8392156862745098;0.3673318910540076;5355;4494
142;PROCESSING_ACPS_CURITIBA;POLICIES_wage;1.0;1.0;1.0;0.0;0.9222036106458217;0.26785091218368356;5373;4955
143;PROCESSING_ACPS_CURITIBA;POLICIES_no_policy;0.0;0.0;0.0;0.0;0.12370940491834052;0.3292497350843135;5327;659
144;PROCESSING_ACPS_FLORIANOPOLIS;POLICIES_buy;0.0;0.0;0.0;0.0;0.029684601113172542;0.16971571986685377;5390;160
